Altium Designer Pick and Place Locations
C:\Users\issam\Documents\Telemetry_Board\Project Outputs for Telemetry_Board\Pick Place for Telemetry_Board.csv

========================================================================================================================
File Design Information:

Date:       01-03-25
Time:       02:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"JP1","61300211121","TopLayer","61300211121","314.962","1368.110","270","Board Connector, 2 Contact(s), 1 Row(s), Male, Straight, 0.1 inch Pitch, Solder Terminal, Locking, Black Insulator, Plug"
"J1","10171746-00021LF","TopLayer","AMPHENOL_10171746-00021LF","149.115","984.253","270","USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (6+18 Dummy) Position Surface Mount, Right Angle; Through Hole"
"J2","43045-0802","TopLayer","FP-43045-0802-MFG","641.733","225.985","0","CONN HEADER R/A 8POS 3MM"
"FB2","BLM18SP102SH1D","BottomLayer","FP-BLM18-0_15-t0_8-IPC_C","633.859","1145.670","135","Ferrite Chip, 1 Function(s), 0.8A, 2 Pin(s)"
"FB1","BLM18SP102SH1D","BottomLayer","FP-BLM18-0_15-t0_8-IPC_C","460.630","960.630","135","Ferrite Chip, 1 Function(s), 0.8A, 2 Pin(s)"
"D9","TLMG1100-GS15","TopLayer","TLMS1100-GS15-Footprint-1","821.452","1167.908","45","Single Color LED, Green, 1.6mm"
"D8","CDBQR0130R","TopLayer","CDBQR0130R-Footprint-1","1503.938","1740.158","0","Rectifier Diode, Schottky, 1 Phase, 1 Element, 0.1A, 35V V(RRM), Silicon"
"D7","TLMO1100-GS15","TopLayer","TLMS1100-GS15-Footprint-1","862.206","1125.984","45","Led, Orange, 80Mcd, 606Nm, 0603 Rohs Compliant: Yes"
"D6","TLMS1100","TopLayer","TLMS1100-GS15-Footprint-1","862.205","725.236","0","Single Color LED, Red, 1.6mm"
"D5","CDBQR0130R","TopLayer","CDBQR0130R-Footprint-1","1019.686","1700.788","180","Rectifier Diode, Schottky, 1 Phase, 1 Element, 0.1A, 35V V(RRM), Silicon"
"D4","CPDQ5V0-HF","TopLayer","CPDQ5V0-HF-Footprint-1","322.836","889.764","180","Trans Voltage Suppressor Diode, 174W, 5V V(RWM), Bidirectional, 1 Element, Silicon"
"D3","CPDQ5V0","TopLayer","CPDQ5V0-HF-Footprint-1","295.275","968.503","90","Trans Voltage Suppressor Diode, 174W, 5V V(RWM), Bidirectional, 1 Element, Silicon"
"D2","CPDQ5V0-HF","TopLayer","CPDQ5V0-HF-Footprint-1","295.276","1041.185","270","Trans Voltage Suppressor Diode, 174W, 5V V(RWM), Bidirectional, 1 Element, Silicon"
"D1","BAT760-7","TopLayer","SOD2513X120N","236.221","738.190","0","Diode Schottky 30V 1A 2-Pin SOD-323 T/R"
"C36","C0402C180J3GACAUTO","TopLayer","FP-C0402-BB-MFG","1610.740","149.804","270","Ceramic Capacitor, Multilayer, Ceramic, 25V, 5% +Tol, 5% -Tol, C0G, 30ppm/Cel TC, 0.000018uF, Surface Mount, 0402"
"C35","C0402C180J3GACAUTO","TopLayer","FP-C0402-BB-MFG","1417.828","153.740","90","Ceramic Capacitor, Multilayer, Ceramic, 25V, 5% +Tol, 5% -Tol, C0G, 30ppm/Cel TC, 0.000018uF, Surface Mount, 0402"
"C34","CL10B104KB8WPNC","BottomLayer","FP-CL10-IPC_B","1398.142","374.214","180","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C33","CL10B104KB8WPNC","BottomLayer","FP-CL10-IPC_B","1279.528","106.300","270","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C31","CL10C120JB81PNC","TopLayer","FP-CL10-IPC_B","440.000","1220.000","315","Ceramic Capacitor, Multilayer, Ceramic, 50V, 5% +Tol, 5% -Tol, C0G, -/+30ppm/Cel TC, 0.000012uF, Surface Mount, 0603"
"C30","CL10C120JB81PNC","TopLayer","FP-CL10-IPC_B","590.551","1326.772","315","Ceramic Capacitor, Multilayer, Ceramic, 50V, 5% +Tol, 5% -Tol, C0G, -/+30ppm/Cel TC, 0.000012uF, Surface Mount, 0603"
"C29","CL10B104KB8WPNC","TopLayer","FP-CL10-IPC_B","755.906","1393.701","225","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C28","CL10B104KB8WPNC","TopLayer","FP-CL10-IPC_B","1296.338","1625.984","180","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C27","CL10B105KA8NNNC","TopLayer","FP-CL10-IPC_B","1377.954","1681.102","180","1 µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C26","CL10B104KB8WPNC","TopLayer","FP-CL10-IPC_B","1507.874","1468.504","0","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C25","GRM31CR60J227ME11K","TopLayer","FP-GRM31C-0_3-e0_3_0_9-IPC_C","887.930","580.709","0","Ceramic Capacitor, Multilayer, Ceramic, 6.3V, 20% +Tol, 20% -Tol, X5R, 15% TC, 220uF, Surface Mount, 1206"
"C24","CL10B105KA8NNNC","TopLayer","FP-CL10-IPC_B","862.205","657.480","0","1 µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C23","CL10B104KB8WPNC","TopLayer","FP-CL10-IPC_B","736.406","669.291","180","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C22","CL10B104KB8WPNC","TopLayer","FP-CL10-IPC_B","871.064","504.283","0","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C21","CL10A475KA8NQNC","BottomLayer","FP-CL10-IPC_B","915.355","1062.993","45","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X5R, 15% TC, 4.7uF, Surface Mount, 0603"
"C20","CL10A475KA8NQNC","BottomLayer","FP-CL10-IPC_B","791.339","968.505","225","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X5R, 15% TC, 4.7uF, Surface Mount, 0603"
"C17","CL10B104KB8WPNC","BottomLayer","FP-CL10-IPC_B","570.867","1062.993","315","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C16","CL10B104KB8WPNC","BottomLayer","FP-CL10-IPC_B","500.000","992.126","315","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C18","CL10A475KA8NQNC","BottomLayer","FP-CL10-IPC_B","535.433","1027.559","315","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X5R, 15% TC, 4.7uF, Surface Mount, 0603"
"C19","CL10A475KA8NQNC","BottomLayer","FP-CL10-IPC_B","606.299","1098.425","315","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X5R, 15% TC, 4.7uF, Surface Mount, 0603"
"C15","C0603C103K9RACTU","BottomLayer","FP-C0603C103K9RACTU-IPC_A","381.890","614.173","180","Ceramic Capacitor, Multilayer, Ceramic, 6.3V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.01uF, Surface Mount, 0603"
"C14","EMK107B7105KAHT","BottomLayer","FP-0603-L_1_6_0_1-W_0_8_0-IPC_B","388.865","468.504","180","Ceramic Capacitor, Multilayer, Ceramic, 16V, 10% +Tol, 10% -Tol, X7R, 15% TC, 1uF, Surface Mount, 0603"
"C13","CL10B105KA8NNNC","TopLayer","FP-CL10-IPC_B","1019.686","1582.678","0","1 µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C12","CL10B104KB8WPNC","BottomLayer","FP-CL10-IPC_B","637.796","1295.276","135","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C11","CL10B104KB8WPNC","BottomLayer","FP-CL10-IPC_B","661.418","874.016","135","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C10","CL10B104KB8WPNC","BottomLayer","FP-CL10-IPC_B","406.067","1109.683","135","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C9","CL10B104KB8WPNC","BottomLayer","FP-CL10-IPC_B","688.977","1062.993","225","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C8","CL10B104KB8WPNC","BottomLayer","FP-CL10-IPC_B","712.599","925.197","135","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C7","CL10B104KB8WPNC","BottomLayer","FP-CL10-IPC_B","610.237","822.835","135","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C6","CL10B104KB8WPNC","BottomLayer","FP-CL10-IPC_B","433.071","856.299","315","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C5","CL10B104KB8WPNC","TopLayer","FP-CL10-IPC_B","141.732","1590.552","180","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C4","CL10B104KB8WPNC","TopLayer","FP-CL10-IPC_B","141.732","387.796","0","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C3","CL10B104KB8WPNC","TopLayer","FP-CL10-IPC_B","1708.662","1425.198","90","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C2","CL10B104KB8WPNC","TopLayer","FP-CL10-IPC_B","1771.654","1425.198","90","0.1 µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C1","CL32A226KAJNNNE","TopLayer","CL32A226KAJNNNE-Footprint-1","1862.206","1452.757","90","Ceramic Capacitor, Multilayer, Ceramic, 25V, 10% +Tol, 10% -Tol, X5R, 15% TC, 22uF, Surface Mount, 1210"
